datetime,open,high,low,close,volume
2025-05-05 15:11:00,200.12,200.23,200.12,200.19,3427
2025-05-05 15:10:00,200.29,200.29,200.085,200.105,5247
2025-05-05 15:09:00,200.24,200.32,200.24,200.29,4269
2025-05-05 15:08:00,200.35,200.35,200.23,200.23,2510
2025-05-05 15:07:00,200.4,200.42,200.2,200.37,9025
2025-05-05 15:06:00,200.48,200.49,200.38,200.4,4389
2025-05-05 15:05:00,200.42,200.49,200.39,200.45,3494
2025-05-05 15:04:00,200.24,200.39,200.205,200.39,5341
2025-05-05 15:03:00,200.26,200.29,200.11,200.25,2439
2025-05-05 15:02:00,200.29,200.32,200.18,200.265,2802
2025-05-05 15:01:00,200.11,200.26,200.08,200.26,4559
2025-05-05 15:00:00,200.51,200.51,200.08,200.085,7503
2025-05-05 14:59:00,200.62,200.62,200.43,200.54,4698
2025-05-05 14:58:00,200.85,200.85,200.58,200.65,4974
2025-05-05 14:57:00,200.69,201.05,200.68,200.87,12869
2025-05-05 14:56:00,200.645,200.71,200.61,200.71,3367
2025-05-05 14:55:00,200.745,200.78,200.63,200.67,2854
2025-05-05 14:54:00,200.74,200.79,200.72,200.77,1807
2025-05-05 14:53:00,200.83,200.85,200.74,200.75,1954
2025-05-05 14:52:00,200.76,200.84,200.745,200.815,3266
2025-05-05 14:51:00,200.69,200.74,200.67,200.74,3752
2025-05-05 14:50:00,200.695,200.74,200.68,200.69,3109
2025-05-05 14:49:00,200.665,200.715,200.66,200.7,3416
2025-05-05 14:48:00,200.73,200.76,200.65,200.65,2555
2025-05-05 14:47:00,200.79,200.795,200.72,200.73,1338
2025-05-05 14:46:00,200.77,200.82,200.68,200.8,5566
2025-05-05 14:45:00,200.85,200.9,200.76,200.775,4844
2025-05-05 14:44:00,200.75,200.855,200.75,200.85,2858
2025-05-05 14:43:00,200.595,200.75,200.595,200.72,8465
2025-05-05 14:42:00,200.82,200.84,200.61,200.625,5104
2025-05-05 14:41:00,200.86,200.93,200.78,200.82,5238
2025-05-05 14:40:00,200.855,200.92,200.85,200.88,2496
2025-05-05 14:39:00,200.82,200.89,200.81,200.88,2583
2025-05-05 14:38:00,200.845,200.85,200.79,200.84,1905
2025-05-05 14:37:00,200.72,200.94,200.72,200.85,3497
2025-05-05 14:36:00,200.88,200.88,200.68,200.715,4653
2025-05-05 14:35:00,200.98,200.98,200.86,200.905,4191
2025-05-05 14:34:00,201.12,201.12,200.96,200.96,3249
2025-05-05 14:33:00,201.07,201.16,201.04,201.115,2267
2025-05-05 14:32:00,200.97,201.06,200.905,201.06,2829
2025-05-05 14:31:00,201.09,201.14,200.965,200.965,5678
2025-05-05 14:30:00,200.95,201.08,200.88,201.07,10030
2025-05-05 14:29:00,200.945,201.0,200.91,200.97,6671
2025-05-05 14:28:00,200.91,200.99,200.885,200.94,9341
2025-05-05 14:27:00,200.87,200.95,200.86,200.94,2250
2025-05-05 14:26:00,200.9,200.98,200.855,200.86,3195
2025-05-05 14:25:00,200.92,200.92,200.84,200.9,1687
2025-05-05 14:24:00,200.89,200.98,200.88,200.965,3619
2025-05-05 14:23:00,200.935,201.0,200.88,200.88,1633
2025-05-05 14:22:00,200.86,201.0,200.84,200.935,3255
2025-05-05 14:21:00,200.84,200.87,200.79,200.87,1659
2025-05-05 14:20:00,200.74,200.84,200.74,200.84,2868
